strong,instances
0001,66001008004 66021006007 66022013003
0002,42001005022 44007040003 58005004015 58007011031 58009004022
0003,66009011012
0004,47011009023
0005,41014036003 45008015016 48004006018
0006,40023035015 42011051003 58011004004 58012024013
0007,40001007010 40001007011 42001005015
0008,41002026009
0009,42003001033
0010,40001013005 40001013006
0011,40001001008 40001002001 40001017006 40003009010 40003009025 40008011014 40022032005 41012026025 42001055008 42001073005 42003008016 42003008031 42003034006 42013016004 42013028012 42016022015 42016023013 42016024006 42016025003 42016029003 42016030006 42019009018 42020037017 43008033005 43008037004 43008039008 43008039017 43008039022 43008040018 43008052010 43008053008 43008056001 43008057012 43008058009 44003013003 44003025020 44007002017 44007016012 44007017013 44007032009 44013026005 45004001005 45004002003 45004003008 45004009017 45004012022 45004013008 45004016028 45009007005 45011001019 47011022008 48003006002 48003007010 48003008015 48003009009 48003014008 48003016003 48003018012 48003029007 48004022004 58002016008 58006013003 58007001014 58007002007 58007004007 58007005029 58007006008 58007009006 58011008003 58011017003 59002021001 59002023009 60003006005
0012,42008031010 45010007006 66009001024 66009002006 66009011008 66011007013 66017008014 66020001012 66020003006
0013,44011028007 44021010012
0014,44014017006 54006018001
0015,42006009013 42006033004 42006033006 42006035007 60002015008 60002020011 60003006012 60003017003 64001011010
0016,60004019017
0017,60002014012
