StrongNumber,Lemma,SenseNumber,English,Chinese,Instances,Category,BDAG agreement,LN agreement,Definition,Explanations
"4444","πύργος",1,"tower",,"420130040090010 420140280060010 400210330210010 410120010180010",1,0,0,,
"2183","ἐφημερία",1,"division",,"420010080110010 420010050140010",1,0,0,,
"2658","καταντάω",4,"reach",,"440270120170010",2,0,0,,
"2658","καταντάω",3,"come",,"460100110170010 460140360130010",2,0,0,,
"2658","καταντάω",2,"attain",,"440260070130010 500030110030010",2,0,0,,
"2658","καταντάω",1,"arrive",,"440160010010010 440180190010010 440180240110010 440200150050010 440250130100010 440210070080010 440280130030010 490040130020010",2,0,0,,
"4856","συμφωνέω",3,"match",,"420050360300010",2,0,0,,
"4856","συμφωνέω",2,"agree with",,"440150150030010",2,0,0,,
"4856","συμφωνέω",1,"agree",,"400200130130010 400200020010010 400180190080010 440050090080010",2,0,0,,
"2692","καταστροφή",1,"ruin",,"550020140130010 610020060070010",1,0,0,,
"1956","ἐπιλύω",2,"explain",,"410040340130010",2,0,0,,
"1956","ἐπιλύω",1,"settle",,"440190390100010",2,0,0,,
"1373","δίψος",1,"thirst",,"470110270100010",1,0,0,,
"0294","ἀμφιέζω",1,"clothe",,"420120280170010",2,0,0,,
"2894","κόφινος",1,"basket",,"410080190100010 420090170120010 410060430050010 400140200130010 430060130060010 400160090120010",1,0,0,,
"4629","σκέπασμα",1,"cover",,"540060080050010",1,0,0,,
"3641","ὀλίγος",9,"few",,"420120480100010",3,0,0,,
"3641","ὀλίγος",8,"brief",,"490030030110010",3,0,0,,
"3641","ὀλίγος",7,"short",,"660120120280010",3,0,0,,
"3641","ὀλίγος",6,"for a little while",,"600010060040010",3,0,0,,
"3641","ὀλίγος",5,"a little while",,"660170100140010 590040140160010",3,0,0,,
"3641","ὀλίγος",4,"small",,"440190240140010 440190230090010",3,0,0,,
"3641","ὀλίγος",3,"few",,"440170120160010 580120100050010 400090370130010 400070140150010 400220140050010 420100020120010 440170040240010 600050120100010",3,0,0,,
"3641","ὀλίγος",2,"a few",,"660020140050010 400250230120010 400250210120010 410060050100010 410080070040010 400150340140010 660030040030010 600030200160010 420130230070010",3,0,0,,
"3641","ὀλίγος",1,"little",,"470080150110010 540040080060010 420070470160010 440260290100010 440260280080010 440150020070010 440120180070010 440270200130010 540050230050010",3,0,0,,
"1523","εἰσδέχομαι",1,"welcome",,"470060170150010",2,0,0,,
"2310","θεμέλιον",1,"foundation",,"420060490160010 440160260090010 420140290050010 420060480120010",1,0,0,,
"1472","ἐγχρίω",1,"rub on",,"660030180270010",2,0,0,,
"1279","διαπορεύομαι",3,"pass through",,"420130220020010",2,0,0,,
"1279","διαπορεύομαι",2,"pass",,"450150240090010 420060010050010",2,0,0,,
"1279","διαπορεύομαι",1,"travel through",,"420180360040010 440160040030010",2,0,0,,
"4406","πρόϊμος",1,"early",,"590050070230010",3,0,0,,
"0627","ἀπολογία",1,"defense",,"500010160080010 500010070260010 600030150130010 440220010110010 440250160230010 550040160050010 460090030030010 470070110140010",1,0,0,,
"5251","ὑπερυψόω",1,"highly exalt",,"500020090060010",2,0,0,,
"0527","ἁπαλός",1,"tender",,"400240320140010 410130280130010",3,0,0,,
"2012","ἐπίτροπος",3,"guardian",,"480040020030010",1,0,0,,
"2012","ἐπίτροπος",2,"steward",,"420080030050010",1,0,0,,
"2012","ἐπίτροπος",1,"foreman",,"400200080100010",1,0,0,,
"2224","ζώννυμι",1,"gird",,"440120080070010 430210180240010",2,0,0,,
"4234","πρᾶξις",3,"deed",,"450080130120010",1,0,0,,
"4234","πρᾶξις",2,"practice",,"510030090110010 440190180100010",1,0,0,,
"4234","πρᾶξις",1,"action",,"400160270240010 450120040170010 420230510090010",1,0,0,,
"0950","βεβαιόω",3,"strengthen",,"580130090100010",2,0,0,,
"0950","βεβαιόω",2,"establish",,"510020070070010 470010210030010",2,0,0,,
"0950","βεβαιόω",1,"confirm",,"460010080030010 580020030190010 460010060060010 450150080120010 410160200120010",2,0,0,,
"2330","θέρος",1,"summer",,"400240320230010 410130280230010 420210300120010",1,0,0,,
"0877","ἀφροσύνη",1,"foolishness",,"470110170100010 470110210150010 470110010060010 410070220100010",1,0,0,,
"4819","συμβαίνω",4,,,"440210350070010",2,0,0,,
"4819","συμβαίνω",3,"take place",,"420240140090010",2,0,0,,
"4819","συμβαίνω",2,"have happen",,"440200190120010 440030100250010",2,0,0,,
"4819","συμβαίνω",1,"happen",,"600040120150010 610020220010010 460100110040010 410100320320010",2,0,0,,
"4982","σῴζω",4,"bring safely",,"550040180100010",2,0,0,,
"4982","σῴζω",3,"heal",,"420180420100010 440040090120010 440140090150010 410100520100010",2,0,0,,
"4982","σῴζω",2,"make well",,"410050340090010 400090220140010 420080500120010 400090220170010 410060560350010 400090210110010 410050280100010 410050230190010 430110120090010 420080480090010 420170190090010 420080360070010",2,0,0,,
"4982","σῴζω",1,"save",,"410030040120010 420090240080010 420130230090010 410080350080010 410160160050010 470020150090010 420080120240010 460100330160010 490020050120010 430100090100010 460010210250010 420230390140010 410150310170010 420190100090010 440020470160010 490020080050010 400140300130010 460050050130010 440020400100010 420180260080010 420230370100010 580050070150010 420090240210010 600030210060010 450100130090010 400270490100010 440020210100010 400270420020010 450050090100010 590020140190010 430120470240010 410150300010010 460010180140010 400010210120010 450110140080010 530020100180010 410150310130010 650010230030010 540020040050010 450050100170010 420230350140010 460070160080010 590050200100010 440160310100010 450090270210010 430120270100010 400270400120010 540010150160010 440150010200010 560030050150010 420060090170010 420070500090010 400160250080010 400270420060010 440150110090010 440270310170010 580070250030010 460070160160010 410100260110010 450080240040010 590010210160010 440110140080010 440160300120010 400190250110010 400080250070010 450100090230010 450110260050010 440270200200010 420230350130010 600040180060010 430050340140010 460150020040010 460030150090010 590040120090010 410080350230010 650010050160010 400240220100010 410130200100010 430030170170010 520020160070010 410130130160010 400100220160010 400240130070010 540040160130010 540020150010010 440040120240010 550010090020010 460090220160010 590050150060010",2,0,0,,
"3140","μαρτυρέω",8,"win approval",,"580110020040010",2,0,0,,
"3140","μαρτυρέω",7,"speak well of",,"420040220030010",2,0,0,,
"3140","μαρτυρέω",6,"have testimony",,"640010120020010",2,0,0,,
"3140","μαρτυρέω",5,"attest",,"450030210080010 540050100040010",2,0,0,,
"3140","μαρτυρέω",4,"give",,"620050100280010 430050320150010",2,0,0,,
"3140","μαρτυρέω",3,"approve",,"580110050200010 580110390040010 580110040120010",2,0,0,,
"3140","μαρτυρέω",2,"well speak",,"440160020020010 440220120090010 440100220120010 440060030070010",2,0,0,,
"3140","μαρτυρέω",1,"testify",,"430010150020010 430050360250010 430040390170010 430210240060010 430050320040010 660220200030010 430050330060010 430070070120010 620040140050010 430130210090010 430050390160010 430190350040010 440220050050010 510040130010010 430050310030010 470080030040010 400230310020010 430150260220010 660220180010010 430080180080010 430010320020010 430120170010010 430050370070010 430010340040010 440260050060010 430080140080010 430100250220010 430080130090010 430080180040010 430030320060010 430150270040010 430030110120010 430040440040010 430010080080010 430010070060010 430180370300010 640010030070010 620050070050010 640010060020010 660010020020010 620010020080010 430030260190010 480040150060010 580070170010010 660220160070010 540060130140010 440140030110010 460150150080010 440130220130010 620050090210010 430020250080010 620050060290010 450100020010010 580100150010010 440150080050010 430030280040010 440100430050010 640010120130010 580110040150010 440230110250010 580070080100010 430180230070010",2,0,0,,
"0221","Ἀλεξανδρεύς",1,"alexandrian",,"440180240060010",1,0,0,,
"3881","παραλέγομαι",1,"sail past",,"440270130100010 440270080030010",2,0,0,,
"4042","περιοχή",1,"passage",,"440080320030010",1,0,0,,
"4149","πλοῦτος",2,"wealth",,"470080020200010 400130220220010 540060170130010 590050020020010 510010270080010 410040190100010 580110260020010 660180170070010 510020020120010",1,0,0,,
"4149","πλοῦτος",1,"riches",,"490010070160010 490020070100010 490030160060010 660050120140010 490030080150010 490010180200010 500040190110010 450110120120010 450090230050010 450110120060010 450020040030010 450110330030010 420080140150010",1,0,0,,
"4465","ῥαβδοῦχος",1,"policemen",,"440160350080010 440160380060010",1,0,0,,
"1485","ἔθος",2,"habit",,"580100250070010",1,0,0,,
"1485","ἔθος",1,"custom",,"440210210240010 440160210030010 440280170290010 440250160070010 440060140170010 430190400150010 440260030090010 420020420100010 440150010150010 420010090030010 420220390060010",1,0,0,,
"1601","ἐκπίπτω",5,"fall away",,"440270320120010",2,0,0,,
"1601","ἐκπίπτω",4,"fail",,"450090060050010",2,0,0,,
"1601","ἐκπίπτω",3,"fall from",,"610030170130010 480050040100010",2,0,0,,
"1601","ἐκπίπτω",2,"run aground",,"440270260070010 440270290080010 440270170140010",2,0,0,,
"1601","ἐκπίπτω",1,"fall off",,"590010110160010 440120070250010 600010240190010",2,0,0,,
"2485","ἰχθύδιον",1,"small fish",,"410080070030010 400150340150010",1,0,0,,
"0522","ἀπαίρω",1,"take away",,"400090150240010 420050350060010 410020200050010",2,0,0,,
"0548","ἄπειμι",1,"absent",,"470130020090010 460050030040010 470100110120010 500010270150010 470130100040010 470100010210010 510020050060010",2,0,0,,
"4083","πῆχυς",1,"cubit",,"660210170090010 400060270120010 420120250120010 430210080180010",1,0,0,,
"1402","δουλόω",2,"enslave",,"460090190080010 460070150080010 480040030130010",2,0,0,,
"1402","δουλόω",1,"enslave",,"450060220070010 440070060160010 610020190140010 450060180060010 560020030110010",2,0,0,,
"3199","μέλει",3,"matter",,"460090090140010 460070210050010",2,0,0,,
"3199","μέλει",2,"concern",,"400220160260010 410120140120010 440180170160010",2,0,0,,
"3199","μέλει",1,"care",,"420100400130010 600050070100010 410040380190010 430120060090010 430100130060010",2,0,0,,
"0360","ἀναλύω",2,"return",,"420120360100010",2,0,0,,
"0360","ἀναλύω",1,"depart",,"500010230110010",2,0,0,,
"2207","ζηλωτής",1,"zealous",,"440220030260010 440210200220010 460140120050010 480010140140010 600030130090010 560020140170010",1,0,0,,
"0467","ἀνταποδίδωμι",2,"return",,"520030090070010",2,0,0,,
"0467","ἀνταποδίδωμι",1,"repay",,"580100300080010 450120190150010 420140140070010 420140140090010 530010060050010 450110350060010",2,0,0,,
"4536","σάλπιγξ",1,"trumpet",,"660080130260010 660010100150010 460150520090010 520040160120010 660080020150010 580120190020010 660040010190010 660080060090010 660090140080010 400240310070010 460140080050010",1,0,0,,
"5557","χρυσός",1,"gold",,"400230160210010 460030120080010 400100090030010 400230170090010 590050030020010 660090070190010 400020110260010 400230170160010 440170290090010",1,0,0,,
"1106","γνώμη",5,"decision",,"440200030170010",1,0,0,,
"1106","γνώμη",4,"consent",,"570010140050010",1,0,0,,
"1106","γνώμη",3,"judgment",,"460010100350010",1,0,0,,
"4118","πολύς",1,"many",,"400110200100010 400210080030010",3,0,0,,
"1040","βύσσινος",1,"fine linen",,"660180120110010",3,0,0,,
"0254","ἅλυσις",1,"chain",,"440280200180010 440210330100010 440120060190010 440120070280010 410050040070010 410050040140010 660200010140010 490060200050010 550010160140010 420080290180010 410050030100010",1,0,0,,
"0216","ἄλαλος",1,"mute",,"410090250160010 410070370150010 410090170170010",3,0,0,,
"2697","κατάσχεσις",2,"dispossess",,"440070450120010",1,0,0,,
"2697","κατάσχεσις",1,"possession",,"440070050160010",1,0,0,,
"5335","φάσκω",2,"professing",,"450010220010010",2,0,0,,
"5335","φάσκω",1,"say",,"440240090060010 440250190170010",2,0,0,,
"0386","ἀνάστασις",2,"rise",,"420020340180010",1,0,0,,
"0386","ἀνάστασις",1,"resurrection",,"440040020140010 430110250080010 400220300040010 430050290160010 580110350170010 400220230110010 440040330100010 440230060290010 440010220150010 500030100080010 430050290080010 410120180080010 410120230030010 400220280030010 450060050130010 440170320030010 600030210190010 660200050140010 420200330060010 420200360140010 450010040110010 440240210130010 440020310050010 440240150110010 440170180330010 440230080070010 660200060090010 460150130030010 420200350100010 550020180080010 460150210090010 460150420040010 430110240100010 400220310040010 460150120150010 420140140140010 580110350040010 600010030230010 440260230080010 580060020060010 420200270080010",1,0,0,,
"0531","ἀπαράβατος",1,"permanently",,"580070240100010",3,0,0,,
"3367","μηδείς",10,,,"470130070100010",3,0,0,,
"3367","μηδείς",9,"not at all",,"530030110080010",3,0,0,,
"3367","μηδείς",8,"anything",,"470060030030010 500010280050010",3,0,0,,
"3367","μηδείς",7,"not",,"440250170060010 440280180080010",3,0,0,,
"3367","μηδείς",6,"without",,"420040350230010 590010060050010",3,0,0,,
"3367","μηδείς",5,"not",,"660020100010010 440160280080010",3,0,0,,
"3367","μηδείς",4,"without",,"440100200080010 440110120080010 460100270150010 460100250070010",3,0,0,,
"3367","μηδείς",3,"any",,"530020030060010 460010070060010 440040170180010 600030060160010",3,0,0,,
"3367","μηδείς",2,"nothing",,"440080240140010 410060080050010 560020080090010 470060100120010 500020030010010 540060040020010 540050210170010 420090030050010 480060030070010 440270330200010 440280060180010 420060350100010 640010070060010 560030130090010 410010440060010 590010040130010 440190360110010 440250250040010 440230140120010 400270190140010 500040060010010 410050260140010 420030130060010 440040210060010 520040120080010 470070090170010 450130080020010 470110050030010",3,0,0,,
"3367","μηδείς",1,"no one",,"560030020010010 540040120010010 590010130010010 410110140110010 400160200060010 420080560100010 660030110070010 490050060010010 510020180010010 620030070020010 480060170050010 440090070130010 560020150100010 410080300050010 440110190190010 410050430060010 400090300130010 460100240010010 520030030020010 460030210020010 420050140050010 510020040040010 460030180010010 420090210060010 410070360050010 420100040090010 400170090120010 400080040070010 440230220090010 410090090100010 580100020080010 470060030010010 440190400090010 440230290090010 540050140070010 440150280090010 440130280020010 540050220030010 420030140140010 440100280200010 440240230100010 450130080010010 410010440050010 450120170010010",3,0,0,,
"1670","ἑλκύω",3,"haul in",,"430210060210010",2,0,0,,
"1670","ἑλκύω",2,"drag",,"440160190190010",2,0,0,,
"1670","ἑλκύω",1,"draw",,"430120320080010 430180100060010 430060440130010 430210110060010",2,0,0,,
"0633","ἀπονίπτω",1,"wash",,"400270240140010",2,0,0,,
"4127","πληγή",5,"wound",,"440160330130010",1,0,0,,
"4127","πληγή",4,"beating",,"470110230150010 470060050020010",1,0,0,,
"4127","πληγή",3,"wind",,"660130140310010 660130030130010 660130120290010",1,0,0,,
"4127","πληγή",2,"blow",,"420120480080010 440160230050010 420100300200010",1,0,0,,
"4127","πληγή",1,"plague",,"660150060100010 660090180040010 660090200110010 660160210210010 660110060330010 660160090190010 660160210280010 660210090170010 660180080080010 660150080270010 660150010140010 660220180240010 660180040240010",1,0,0,,
"3539","νοέω",3,"consider",,"550020070010010",2,0,0,,
"3539","νοέω",2,"think",,"490030200110010",2,0,0,,
"3539","νοέω",1,"understand",,"540010070050010 450010200100010 400160090020010 580110030020010 400240150200010 400160110030010 490030040050010 430120400160010 410080170120010 410130140140010 400150170020010 410070180100010",2,0,0,,
"2119","εὐκαιρέω",3,"spend time",,"440170210110010",2,0,0,,
"2119","εὐκαιρέω",2,"have time",,"410060310260010",2,0,0,,
"2119","εὐκαιρέω",1,"opportunity",,"460160120270010",2,0,0,,
"0906","βάλλω",11,"rush down",,"440270140050010",2,0,0,,
"0906","βάλλω",10,"place",,"660020240250010",2,0,0,,
"0906","βάλλω",9,"lay",,"420160200060010",2,0,0,,
"0906","βάλλω",8,"bring",,"400100340050010 400100340120010",2,0,0,,
"0906","βάλλω",7,"swing",,"660140160020010 660140190020010",2,0,0,,
"0906","βάλλω",6,"lie",,"400080140130010 410070300100010 400080060070010 400090020080010",2,0,0,,
"0906","βάλλω",5,"pour",,"400260120010010 430130050020010 660120160190010 660120150020010",2,0,0,,
"0906","βάλλω",4,"cast",,"660020100080010 400180090260010 410090420260010 410090450230010 410090470240010 660060130120010 400130470090010 620040180120010 420230340180010 410150240090010 400270350080010 400040180200010 410040260110010",2,0,0,,
"0906","βάλλω",3,"throw",,"420210040230010 410120410180010 420130080190010 410120420060010 430210060050010 430190240300010 660040100220010 430210060160010 420120490030010 660120090020010 660120100290010 660180210180010 660120090320010 410120430190010",2,0,0,,
"0906","βάλλω",2,"put",,"430130020070010 430200270210010 430200250360010 430200250260010 400090170020010 430050070140010 410020220030010 400270060100010 420210040080010 410070330090010 420050370030010 590030030100010 400090170240010 660020140170010 430120060200010 430180110070010 420210020060010 420210010050010 400250270040010 420210030140010 410120440170010 410120410100010",2,0,0,,
"0906","βάλλω",1,"throw",,"660200100070010 400150260140010 440160230060010 430080070160010 400070190110010 660200150120010 400130480190010 400050290130010 400180080150010 420140350100010 420120280130010 400050250300010 400130420020010 410090220070010 660180210110010 660190200320010 420040090210010 420030090230010 400130500020010 400050290310010 660200030020010 400030100220010 420230190120010 400040060090010 400180090110010 440160370140010 400050300120010 660200140070010 660180190020010 400180300070010 430030240040010 400060300130010 660140190180010 410070270210010 660080050160010 660080070140010 660120040130010 660080080120010 430150060070010 400070060080010 400180080350010 430150060210010 410110230130010 400210210300010 420230250080010 400050130210010 440160240050010 660120090220010 660120130070010 440220230100010 430080590050010 420120580350010 430210070300010 420130190080010 660020220020010 410120430210010 410120440070010 400170270090010",2,0,0,,
"1812","ἑξακόσιοι",1,"six hundred",,"660130180210010 660140200220010",3,0,0,,
"3451","μουσικός",1,"musician",,"660180220050010",3,0,0,,
"0021","ἀγαλλιάω",3,"exultation",,"600040130180010",2,0,0,,
"0021","ἀγαλλιάω",2,"rejoice",,"430080560050010 430050350120010",2,0,0,,
"0021","ἀγαλλιάω",1,"rejoice",,"400050120030010 660190070030010 440160340100010 420100210050010 440020260080010 600010080120010 600010060030010 420010470020010",2,0,0,,
"5196","ὕβρις",2,"insult",,"470120100060010",1,0,0,,
"5196","ὕβρις",1,"damage",,"440270100070010 440270210270010",1,0,0,,
"3039","λικμάω",1,"scatter like dust",,"420200180140010 400210440140010",2,0,0,,
"3885","παραλυτικός",2,"paralyze",,"400080060110010",3,0,0,,
"3885","παραλυτικός",1,"paralytic",,"410020040210010 400090020050010 400090060190010 410020050100010 410020100180010 400090020180010 410020090060010 400040240270010 410020030060010",3,0,0,,
"4902","συνέπομαι",1,"accompany",,"440200040010010",2,0,0,,
"5345","φήμη",1,"news",,"420040140140010 400090260040010",1,0,0,,
"1525","εἰσέρχομαι",7,"go in",,"440280080160010",2,0,0,,
"1525","εἰσέρχομαι",6,"go in",,"410050390020010",2,0,0,,
"1525","εἰσέρχομαι",5,"start",,"420090460010010",2,0,0,,
"1525","εἰσέρχομαι",4,"go in and out",,"430100090120010 440010210110010",2,0,0,,
"1525","εἰσέρχομαι",3,"come",,"410060250020010 440160150170010 420080410230010 590020020030010 580100050020010 400080080150010 420070060340010",2,0,0,,
"1525","εἰσέρχομαι",2,"come in",,"450110250290010 440200290040010 660030200190010 420140230160010 420170070110010 440050100100010 410060220020010 440090120080010 400220110010010 420070450090010 590020020120010 440100030140010 420010280020010",2,0,0,,
"1525","εἰσέρχομαι",1,"enter",,"580030180050010 400260410060010 430030040210010 410060100060010 580060190120010 420100080060010 440280160030010 430130270060010 400230130230010 440140010080010 410050130100010 430180280170010 420100100060010 400100120010010 440100240040010 580090240050010 410010210090010 410090430140010 580090120120010 410090250280010 400070210080010 400070130010010 410020260020010 400270530100010 580040030010010 430200060090010 580030190060010 420240260080010 420080320190010 410050120130010 410090470140010 420040160090010 420070440130010 420100380070010 400180080210010 440090170050010 430030050170010 580030110080010 420220460100010 420130240120010 410100240250010 580040060130010 580040050060010 660150080190010 420130240020010 420090040060010 430100010070010 400050200180010 410100230200010 400190240140010 440100250050010 420060060060010 430200080030010 580040010060010 420180250160010 410010450180010 580040030170010 420090520090010 420100050050010 450050120120010 400180030160010 420170120020010 420060040020010 440110080100010 420080330080010 580090250090010 420080300150010 410030010020010 420220400100010 420080510080010 400080050010010 420090340140010 420010400020010 400120290050010 420180170160010 410090450130010 410100150160010 400190170210010 580040060050010 420220030010010 410100250170010 440030080070010 400100050200010 660220140200010 420040380060010 400180090210010 580040110030010 400120040020010 410140140040010 440050210030010 430100020030010 400190230140010 400100110080010 430100090090010 580060200050010 400020210120010 660210270040010 660110110130010 440100270040010 400150110030010 410110110020010 440090060040010 440140200070010 400210120020010 410070170030010 430190090020010 400070130230010 430180010190010 440110120200010 420190010020010 440180190100010 410160050020010 410070240100010 440250230140010 400210100020010 420010090090010 440230160120010 420220100060010 580040100030010 440210080090010 440190080010010 420070360120010 410030270100010 400250230190010 420170270080010 400240380210010 460140240050010 460140230140010 400250210190010 430040380170010 420070010120010 440010130030010 440140220170010 430180330010010 420210210220010 420110520130010 400230130250010 430200050090010 410130150090010 420240290180010 400250100110010 420150280060010 410150430180010 420110370120010 400230130200010 440190300040010 400120450130010 420110260110010 410020010020010 440230330020010 420190070100010 400060060050010 420180250080010 440180070040010 440170020070010 440110030030010 440130140130010 440050070150010 400220120060010 410080260120010 400260580140010 410110150060010 420190450020010 410090280020010 590050040260010 420110520160010 400090250060010 420240030010010 440160400060010",2,0,0,,
"4310","προπάσχω",1,"already suffer",,"520020020020010",2,0,0,,
"2441","ἱματισμός",1,"clothe",,"420070250130010 430190240280010 440200330050010 420090290150010 540020090210010",1,0,0,,
"4967","σφαγή",1,"slaughter",,"440080320130010 590050050130010 450080360130010",1,0,0,,
"4122","πλεονεκτέω",3,"shall be outsmarted",,"470020110030010",2,0,0,,
"4122","πλεονεκτέω",2,"defraud",,"520040060050010",2,0,0,,
"4122","πλεονεκτέω",1,"exploit",,"470120170090010 470120180080010 470070020080010",2,0,0,,
"1757","ἐνευλογέω",1,"bless",,"440030250260010 480030080170010",2,0,0,,
"1182","δέκατος",1,"tenth",,"660110130110010 660210200170010 430010390220010",3,0,0,,
"3890","παραμύθιον",1,"consolation",,"500020010090010",1,0,0,,
"0999","βόθυνος",1,"pit",,"400120110210010 400150140140010 420060390140010",1,0,0,,
"0916","βαρέω",3,"have be weigh down",,"400260430120010",2,0,0,,
"0916","βαρέω",2,"overcome",,"420090320090010",2,0,0,,
"0916","βαρέω",1,"burden",,"470050040090010 540050160100010 470010080210010",2,0,0,,
"1336","διηνεκής",2,"continually",,"580100010240010",3,0,0,,
"1336","διηνεκής",1,"|",,"580100140070010 580100120100010 580070030210010",3,0,0,,
"5563","χωρίζω",2,"separate",,"570010150050010 450080350030010 410100090080010 450080390110010 400190060150010 580070260100010",2,0,0,,
"5563","χωρίζω",1,"leave",,"440180010030010 460070150050010 460070150060010 460070110040010 460070100140010 440010040080010 440180020230010",2,0,0,,
"2823","κλίβανος",1,"furnace",,"420120280120010 400060300120010",1,0,0,,
"3077","λύπη",3,"painful",,"580120110130010",1,0,0,,
"3077","λύπη",2,"sorrow",,"500020270220010 430160060070010 600020190100010",1,0,0,,
"3077","λύπη",1,"grief",,"470070100150010 420220450150010 470070100050010 470020070120010 470020010090010 500020270200010 470020030080010 450090020020010 430160210050010 430160220060010 430160200180010 470090070080010",1,0,0,,
"4579","σείω",1,"shake",,"400270510170010 660060130190010 400280040060010 580120260150010 400210100060010",2,0,0,,
"4920","συνίημι",1,"understand",,"400150100090010 490050170070010 420240450070010 450030110040010 400130230150010 400130130160010 440070250190010 420180340050010 400160120020010 410040120120010 450150210140010 400170130020010 440070250030010 420080100250010 440280260140010 440280270290010 420020500040010 400130510010010 400130190090010 400130150290010 400130140140010 410070140120010 410060520030010 470100120230010 410080210050010 410080170140010",2,0,0,,
"3772","οὐρανός",2,"sky",,"420120560080010 400160030140010 400160020130010 420170240140010 400160030090010 420130190220010 420170240100010",1,0,0,,
"3772","οὐρανός",1,"heaven",,"400050180090010 460080050090010 660200090240010 400070210130010 400050030120010 420110160060010 400060200060010 400260640280010 580010100160010 660050130070010 430060330110010 400220020050010 410160190130010 660190010110010 400030160150010 440220060140010 660080100100010 430060410170010 490030150060010 450010180060010 400140190200010 660040020110010 440070560060010 440010110210010 470050020110010 400180180240010 400190210220010 580080010190010 400050190220010 400070210250010 430120280110010 400240350020010 420150210100010 660130130110010 660120120050010 610030130030010 400100330190010 600010040100010 440020050150010 490010100160010 440070490020010 400030020090010 660080010120010 400050100120010 520010100080010 660120030070010 660120040110010 660110120160010 430060580070010 400210250080010 400070110210010 450100060180010 410100210260010 420240510150010 400250010060010 400280020110010 400130520130010 660180010090010 410120250160010 480010080080010 660100040140010 490060090220010 420030220160010 510010230270010 510010200270010 660210100220010 440170240130010 590050120100010 400160170250010 420180220230010 400130470070010 430010510100010 420170290130010 660110120070010 660120010070010 580110120130010 440040120160010 400230220060010 610010180080010 510010160090010 440020340070010 510040010180010 400110110200010 440040240170010 400110120130010 420200040050010 400050340110010 400180040170010 440010110310010 410070340050010 410060410130010 400130330100010 400130240100010 470120020270010 400050190360010 440090030170010 430030130060010 660190110040010 420030210160010 400030170060010 660210010030010 420090540160010 610030100100010 400060090100010 400050200230010 420180130140010 400240360140010 510010050090010 580120250220010 430030130120010 400160190320010 660120070060010 430010320130010 400130310110010 400180140110010 660120100070010 440070420120010 400100320210010 410110300060010 520040160160010 490040100110010 400060010290010 580120230060010 400190140220010 430030310240010 400120500120010 400180190280010 440020020060010 660100010090010 440070550090010 580090230090010 660030120420010 660100060140010 660100050220010 400050120110010 430060510100010 440140150260010 460150470110010 430030270180010 610030070040010 420190380110010 410010100100010 410130320150010 400180180130010 400130110150010 400050160230010 660140020060010 420150180140010 430060420240010 410080110150010 400100070100010 420100210180010 660200110200010 410010110060010 430060380050010 400040170150010 610030050070010 660140170110010 530010070150010 660190140070010 420020150090010 420060230160010 660100080080010 660210010110010 420100200200010 400180030210010 400160010130010 580120260230010 430060310160010 400160190200010 400190230190010 660200010070010 440110090080010 580040140070010 660180040070010 430170010110010 660150010070010 660130060220010 660180050080010 600030220090010 410110250190010 400110250140010 470050010210010 420100150060010 660140130060010 660110150120010 600010120230010 660110190100010 580090240150010 660140070240010 420210330020010 660160110060010 660050030060010 660040010100010 400190120280010 400110230060010 410110310090010 400050450090010 400200010070010 610030120120010 400130440060010 500030200060010 400060100110010 400210250210010 430060320290010 420150070080010 400080110230010 400220300140010 400130450070010 420120330170010 410130310020010 420160170050010 400180230070010 660210020120010 430060500080010 580070260170010 400180100160010 400280180130010 420090160130010 420220430060010 400160190080010 430060320180010 400180010190010 660120080110010 410140620240010 660090010110010 660110130350010 420200050110010 420100180110010 660180200040010 420210110150010 400180100270010 400230130130010 420210260150010 410130250150010 400240290310010 660060130050010 440110050230010 440100160130010 440110100120010 440010110110010 440010100070010 400240300310010 440020190060010 440100110040010 440030210030010 660150050150010 410130270200010 410130250070010 660160210090010 400130320230010 420090580140010 420080050260010 440100120140010 440110060210010 410040320240010 400060260060010 400080200140010 420040250190010 400240290260010 660110060070010 660060140030010 400240300110010 400240310200010 590050180060010 420110130190010",1,0,0,,
"0063","ἀγραυλέω",1,"stay out in field",,"420020080090010",2,0,0,,
"4059","περιτέμνω",1,"circumcise",,"480060120090010 510020110040010 480060130110010 440150010130010 480060130040010 430070220210010 440160030100010 440210210180010 440070080120010 480020030100010 440150050140010 420010590090010 480050020080010 480050030060010 460070180010010 460070180110010 420020210070010",2,0,0,,
"0784","ἄσπιλος",2,"spotless",,"540060140050010 610030140060010",3,0,0,,
"0784","ἄσπιλος",1,"unstain",,"590010270200010 600010190080010",3,0,0,,
"1399","δούλη",2,"female slave",,"440020180100010",1,0,0,,
"1399","δούλη",1,"slave",,"420010380060010 420010480070010",1,0,0,,
"2825","κλίνη",2,"dine couch",,"410070040230010",1,0,0,,
"2825","κλίνη",1,"bed",,"410040210160010 410070300130010 420170340090010 420080160100010 400090060240010 400090020070010 420050180060010 660020220050010",1,0,0,,
"3626","οἰκουργός",1,"worker at home",,"560020050030010",3,0,0,,
"4945","συνωμοσία",1,"plot",,"440230130080010",1,0,0,,
"4760","στρατόπεδον",1,"army",,"420210200060010",1,0,0,,
"2727","κατηχέω",3,"tell",,"440210240190010 440210210010010",2,0,0,,
"2727","κατηχέω",2,"instruct",,"420010040050010 440180250030010",2,0,0,,
