StrongNumber,Lemma,SenseNumber,English,Chinese,Instances,Category,BDAG agreement,LN agreement,Definition,Explanations
"4851","συμφέρω",1,"better",,"430110500040010 430180140090010 430160070070010 400190100170010 400050290160010 400050300150010 400180060130010",2,0,0,,
"1717","ἐμφανής",2,"manifest",,"450100200120010",3,0,0,,
"1717","ἐμφανής",1,"visible",,"440100400120010",3,0,0,,
"1388","δόλος",2,"treacherous way",,"400260040060010 410140010210010",1,0,0,,
"1388","δόλος",1,"deceit",,"600020010070010 430010470180010 600020220070010 470120160100010 450010290110010 440130100050010 600030100200010 410070220040010 520020030130010",1,0,0,,
"4113","πλατεῖα",1,"street",,"660110080070010 400060050190010 400120190100010 440050150050010 420130260120010 660210210180010 420140210220010 420100100140010 660220020040010",1,0,0,,
"2238","ἡδύοσμον",1,"mint",,"400230230100010 420110420090010",1,0,0,,
"5073","τετραπλοῦς",1,"four time",,"420190080240010",3,0,0,,
"1365","διστάζω",1,"doubt",,"400140310160010 400280170070010",2,0,0,,
"5442","φυλάσσω",6,"preserve",,"610020050110010",2,0,0,,
"5442","φυλάσσω",5,"protect from",,"650010240040010",2,0,0,,
"5442","φυλάσσω",4,"avoid",,"440210250090010",2,0,0,,
"5442","φυλάσσω",3,"on guard",,"420120150070010 610030170050010 550040150040010",2,0,0,,
"5442","φυλάσσω",2,"guard",,"440280160140010 550010120220010 420110210050010 540060200050010 440120040110010 550010140040010 420080290210010 620050210020010 430170120160010 530030030100010 440220200170010",2,0,0,,
"5442","φυλάσσω",1,"keep",,"420020080110010 410100200080010 430120250210010 440070530100010 420180210060010 430120470100010 450020260090010 480060130070010 400190200070010 440210240280010 420110280130010 440230350160010 440160040080010 540050210140010",2,0,0,,
"3403","μιμνῄσκομαι",1,"remember",,"580130030010010 580020060100010",2,0,0,,
"4336","προσεύχομαι",1,"pray",,"410120400100010 420200470100010 420010100080010 420220440060010 420220400080010 440090110240010 510040030010010 420220460070010 400060090030010 420030210130010 650010200130010 440100090150010 520050170020010 400260440060010 400260360210010 400060060040010 420050160090010 510010090130010 460140150040010 400260410030010 440200360110010 410110250040010 410130180010010 440090400110010 490060180060010 420090290050010 420180100070010 410110240070010 420180110070010 520050250020010 400060050210010 400140230110010 440100300150010 460140130050010 530030010030010 420110010230010 420110020050010 400260420050010 440220170080010 590050180030010 590050130050010 580130180010010 540020080030010 420220410130010 440160250080010 410140320170010 440080150030010 420090280210010 410010350130010 440110050060010 410060460080010 460110040030010 400240200010010 420110010100010 410140350090010 410140380030010 410140390040010 460140140080010 400060050030010 440120120200010 400190130110010 500010090030010 420180010090010 400260390080010 510010030130010 400060070010010 400050440100010 460110050040010 420060280050010 420090180070010 460110130110010 590050140110010 460140150070010 420060120120010 530010110040010 400060060150010 460140140030010 440010240020010 440060060070010 440280080180010 440210050280010 440130030040010 440140230070010 450080260130010 590050170080010",2,0,0,,
"4506","ῥύομαι",2,"deliver",,"450110260120010 530030020030010 470010100150010 470010100080010 470010100050010",2,0,0,,
"4506","ῥύομαι",1,"rescue",,"550040170210010 550040180010010 550030110210010 400270430050010 610020090060010 450150310020010 510010130020010 450070240060010 420010740050010 520010100160010 610020070120010 400060130080010",2,0,0,,
"2813","κλέπτω",1,"steal",,"490040280040010 450020210110010 450020210120010 410100190090010 450130090080010 430100100080010 400060200190010 400060190180010 400190180140010 420180200090010 400280130090010 490040280020010 400270640150010",2,0,0,,
"0357","ἀναλογίζομαι",1,"consider",,"580120030010010",2,0,0,,
