macula_greek_word_id	sense_number
n45015031002	1
n51001013002	1
n45007024006	1
n42001074005	1
n52001010016	1
n61002007012	1
n40006013008	1
n49004028004	1
n45002021011	1
n45002021012	1
n41010019009	1
n45013009008	1
n43010010008	1
n40006020019	1
n40006019018	1
n40019018014	1
n42018020009	1
n40028013009	1
n49004028002	1
n40027064015	1
n58012003001	1
n40010010002	1
n41006008016	1
n42009003013	1
n42022036012	1
n42022035010	1
n42010004005	1
n43019037006	3
n44007035025	2
n44009017024	2
n42009031002	2
n46015005003	2
n66012003002	2
n46015007002	2
n46015008007	2
n44013031002	2
n66011019012	2
n66012001004	2
n46015006002	2
n44007030005	2
n58009028016	2
n44002003002	2
n42024034008	2
n41009004002	2
n44016009008	2
n44026016012	2
n42022043001	2
n42001011001	2
n40017003003	2
n44007002013	2
n44007026005	2
n44026016025	2
n40024030021	1
n44002017032	1
n41014062008	1
n62003002019	1
n42013028011	1
n66022004002	1
n43001050018	1
n40005008010	1
n43016017024	1
n45015021009	1
n42021027003	1
n41013026003	1
n58012014011	1
n66001007007	1
n43003036015	1
n40028010020	1
n42003006002	1
n43016019027	1
n41016007018	1
n40028007022	1
n43016022010	1
n43016016010	1
n43001051008	1
n54003016016	1
n44020025008	1
n43011040011	1
n40026064012	1
n40027024028	1
n44018015014	1
n44001003016	1
n59004005014	1
n44007004006	5
n40004013006	5
n40023021013	4
n49003017001	4
n44019017011	3
n44019010010	3
n44001019006	3
n44002014019	3
n40012045014	2
n42011026012	2
n44007002024	2
n40002023003	2
n44022012013	2
n44007048007	1
n51001019008	1
n61003013015	1
n51002009004	1
n66013014004	1
n66006010023	1
n66017008022	1
n66011010003	1
n44001020015	1
n66013014020	1
n66011010023	1
n66008013017	1
n66013008006	1
n66013012019	1
n66002013003	1
n66003010025	1
n44017024022	1
n66002013038	1
n58011009011	1
n66017002011	1
n44011029014	1
n44009032013	1
n44009035006	1
n44009022010	1
n44017026008	1
n44013027003	1
n44007004026	1
n44002005005	1
n44004016017	1
n42013004026	1
n44002009008	1
n42017020023	1
n44001004002	1
n41010017009	2
n40027029018	2
n41001040009	1
n40017014009	1
n40017007006	2
n42015008012	1
n42011033003	1
n42008016004	1
n44028002010	1
